AccX,AccY,AccZ,Acc_Mag,Altitude,Delta_Pitch,Delta_Roll,GyroX,GyroY,GyroZ,Gyro_Mag,Jerk,Pitch,Roll,Speed,Yaw,Delta_Altitude,Label
-0.293888271,0.463278025,10.22204399,10.23675633,855.5999756,0.30713433,6.228474712,0.069907926,-0.06644582,0.607732892,0.61533847,1.357415325,2.593882672,1.64682527,0.116819926,87.40504698,0,Normal Driving
0.04129998,0.281318694,10.7679224,10.77167576,855.5999756,1.805935157,1.099062816,0.069907926,-0.06644582,0.607732892,0.61533847,0.534919431,0.787947515,0.547762454,0.116819926,89.21201648,0,Normal Driving
0.596754789,0.434547603,8.780735016,8.811711259,855.5999756,5.371008244,7.2844709,0.069907926,-0.06644582,0.607732892,0.61533847,1.959964504,6.15895576,-6.736708446,0.116819926,83.7985578,0,Normal Driving
0.055665191,0.870292306,9.192537308,9.233810127,855.5999756,3.33228048,2.848761163,0.069907926,-0.06644582,0.607732892,0.61533847,0.422098868,2.826675279,-3.887947283,0.116819926,87.16681491,0,Normal Driving
-0.375291109,0.20470424,9.819818497,9.829119114,855.5999756,2.581514549,3.540998292,0.069907926,-0.06644582,0.607732892,0.61533847,0.595308986,5.408189828,-0.346948991,0.116819926,84.5917116,0,Normal Driving
4.575918198,-0.389057785,8.752004623,9.883722894,855.5999756,4.374301331,32.49489384,0.066712134,-0.087751091,0.612393439,0.622235073,0.590474244,-3.046423142,-28.92944783,0.116819926,93.47976619,0,Normal Driving
3.565564871,-0.915782154,8.306682587,9.085861841,855.5999756,0.790478694,1.326976146,0.066712134,-0.087751091,0.612393439,0.622235073,0.797861053,-2.255944448,-27.60247168,0.116819926,92.54532578,0,Normal Driving
1.631049871,-0.020350715,10.23162079,10.36083017,855.5999756,2.143404157,18.54500996,0.066712134,-0.087751091,0.612393439,0.622235073,1.274968328,-0.112540291,-9.057461725,0.116819926,90.11396127,0,Normal Driving
0.649427235,0.391451985,9.609128952,9.639001484,855.5999756,1.159509639,9.842153569,0.066712134,-0.087751091,0.612393439,0.622235073,0.721828685,-1.272049929,0.784691844,0.116819926,91.2721692,0,Normal Driving
0.477044702,-0.096965171,8.780735016,8.79421863,855.5999756,3.599543742,4.651113178,0.066712134,-0.087751091,0.612393439,0.622235073,0.844782854,2.327493813,-3.866421334,0.116819926,87.66720251,0,Normal Driving
0.936731398,-0.48482585,8.344989777,8.411383726,855.5999756,2.95925064,0.756681216,0.066712134,-0.087751091,0.612393439,0.622235073,0.382834904,-0.631756827,-3.109740119,0.116819926,90.63268841,0,Normal Driving
0.275931746,0.310049117,8.991424561,9.000999078,855.5999756,2.480207562,3.305737746,0.021038957,0.058190025,-0.589490294,0.592728879,0.061822293,1.445670781,-4.292739234,0.116819926,88.5502639,0,Normal Driving
0.33339259,-0.513556242,10.30344677,10.32162322,855.5999756,0.528334613,2.534979482,0.021038957,0.058190025,-0.589490294,0.592728879,1.320624145,1.974005393,-1.757759753,0.116819926,88.02506603,0,Normal Driving
